Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
Asus,3.799639041031901,8,1000,12.853006544044046,2.151677563878617,31747.60460557713
Acer,3.29800444568066,16,512,15.14407862688804,2.587266819216874,17515.91518148312
HP,2.43312947907335,4,512,15.04639791088389,2.2644564744099336,17073.491965768277
Acer,3.313144151037841,32,512,12.836308781136728,2.37612604770162,18399.77710698207
HP,3.162279311218045,16,512,14.701664164307012,2.943886726805596,17787.920193214795
Acer,1.924394762718852,32,256,12.870138971090247,3.9877037532163553,10719.665409273986
HP,3.0078802736659704,8,256,13.548629182550318,3.816443751577836,9750.09939150324
Acer,1.6454094887636894,4,512,14.109657058685878,3.759535343112346,16690.666299432294
Dell,1.8317893851076508,4,512,11.660379705206692,2.203919899458211,16587.514580972704
Dell,2.663014030709295,16,512,11.496404237742023,2.184275387779498,17406.84907651699
Asus,2.6332220868700693,32,1000,11.432666557576612,2.4233227820640533,33008.898865411786
Acer,3.785747016401248,4,512,12.962267864910906,3.4481404192308034,16954.6650023628
Lenovo,1.803462348556072,8,1000,16.0189909437082,3.1346735457300343,31617.262952743706
Asus,3.8940632112634495,16,512,11.592423241295997,3.3159425007381644,17695.147508140286
Dell,3.0446181005030346,4,1000,16.63336976024765,4.437172172558453,31234.928876827467
HP,2.5211330326767465,16,1000,12.24773815573634,2.8864037738802777,32125.15816609158
Lenovo,2.484661014135396,8,512,14.120444366666902,4.735455886058275,16845.480994534384
Lenovo,3.039657970455761,16,1000,13.487096388900753,4.314536185995463,32447.60269492614
Lenovo,2.7653546571006102,4,512,15.500170472853148,4.778924830763588,17224.796074094204
Dell,2.4504890469646425,32,1000,16.978389762074332,3.2066712045413373,32923.66424093799
Asus,3.922756575352029,4,1000,14.66801961329988,3.841938368820181,31653.26294701181
Dell,2.278269247890009,4,1000,12.696806784022998,2.51478910119557,31150.46348912145
Asus,3.462541359592642,16,256,13.519092186117906,4.488155450427124,9929.37740987491
Asus,2.53656030931756,16,512,12.485060438842472,2.376696735911754,17493.650157480613
Dell,2.496657569430783,8,512,15.16001092240824,3.8856992019418497,16930.188997563248
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657
Dell,2.1442072212780343,32,1000,12.2033178670716,2.9571352229967194,32868.877400863414
HP,3.49356505401732,8,512,13.2468823998081,3.0793822806358984,17077.866844915894
Asus,3.91455540288305,16,256,16.395562153548138,4.460972264441603,9937.855120726465
Lenovo,2.071136853328247,32,1000,14.580658519770138,3.539525246846108,32871.26550348876
HP,3.561702414812873,8,1000,11.25702533071468,3.409746116100786,31979.48506119157
Acer,1.875422502042604,4,512,12.827614134645144,2.1875208245312323,16186.628098963016
Asus,3.966656483167866,4,512,13.228915661956606,4.061886687747553,16924.533002996257
Acer,1.9524423817737244,32,1000,12.318240742348404,3.3079855417117576,32611.790570357465
Dell,2.630544852224518,8,512,15.286464581759589,2.9959948827132954,17059.609275297906
Asus,2.367383004740569,32,256,11.710954152610404,2.8619801495267057,10605.76645913327
Dell,3.611373496337676,16,512,15.968700974038056,2.770230488929274,17242.828225910383
Acer,2.8698987224342325,32,1000,13.29351351186475,3.749383470358608,32725.914020821376
Asus,2.1160050830977672,8,1000,16.24233752109335,4.673600219190807,31428.70478343292
Acer,2.149384459400816,32,256,13.875560539487225,4.03517565650904,10428.784835638491
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527
Asus,1.962832322096549,4,1000,14.541395954905356,3.1521279151733013,31764.03766459276
Asus,1.700287115961688,8,1000,12.028605060263256,3.063131548958406,31593.98311026264
Lenovo,2.9459672925160225,8,256,14.622781951574575,3.604900020228332,9498.257175309209
Dell,3.709464712408564,16,512,16.143853414165044,3.84928453211561,17905.288938740137
Lenovo,3.731679277692437,8,1000,13.239558886776551,2.27981434033451,31512.88406850961
HP,2.4939859949069856,32,256,16.14872236550662,4.333433733375353,10259.568047457497
